|DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO
16480|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|485.0|BOLIVAR|0.0|0.0||3110.0|QUIROGA|M|40946.0|1904.0|449.0|269.0|7.0|NOE INTRIAGO|12.0
16481|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|485.0|BOLIVAR|0.0|0.0||5150.0|CALCETA|F|40946.0|13540.0|2027.0|1554.0|49.0|NOE INTRIAGO|12.0
16482|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|485.0|BOLIVAR|0.0|0.0||5150.0|CALCETA|M|40946.0|13705.0|2363.0|1505.0|74.0|NOE INTRIAGO|12.0
16483|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|490.0|JUNIN|0.0|0.0||5505.0|JUNIN|F|40946.0|7936.0|1154.0|906.0|28.0|NOE INTRIAGO|12.0
16484|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|490.0|JUNIN|0.0|0.0||5505.0|JUNIN|M|40946.0|8590.0|1603.0|1021.0|38.0|NOE INTRIAGO|12.0
16485|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||460.0|CAMPOZANO|F|40946.0|2182.0|520.0|474.0|11.0|NOE INTRIAGO|12.0
16486|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||460.0|CAMPOZANO|M|40946.0|2556.0|733.0|454.0|33.0|NOE INTRIAGO|12.0
16487|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||540.0|CASCOL|F|40946.0|2852.0|613.0|530.0|26.0|NOE INTRIAGO|12.0
16488|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||540.0|CASCOL|M|40946.0|3464.0|855.0|584.0|26.0|NOE INTRIAGO|12.0
16489|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||1395.0|GUALE/STO.DOMINGO|F|40946.0|1782.0|423.0|350.0|8.0|NOE INTRIAGO|12.0
16490|2.0|PREFECTO Y VICEPREFECTO|13.0|MANABÍ|495.0|PAJAN|0.0|0.0||1395.0|GUALE/STO.DOMINGO|M|40946.0|2122.0|568.0|406.0|20.0|NOE INTRIAGO|12.0
